"place","date","value"
"NY","2011-02",8.5
"WA","2011-02",8.2
"NJ","2011-03",9.7
"LA","2011-03",12.2
"NY","2011-03",8.5
"WA","2011-03",8.2
"NJ","2011-04",9.7
"LA","2011-04",12.2
"NY","2011-04",8.5
"WA","2011-04",8.2
"NJ","2011-05",9.7
"LA","2011-05",12.3
"NY","2011-05",8.5
"WA","2011-05",8.2
"NJ","2011-06",9.8
"LA","2011-06",12.4
"NY","2011-06",8.6
"WA","2011-06",8.3
"NJ","2011-07",9.8
"LA","2011-07",12.5
"NY","2011-07",8.6
"WA","2011-07",8.3
"NJ","2011-08",9.9
"LA","2011-08",12.5
"NY","2011-08",8.7
"WA","2011-08",8.4
"NJ","2011-09",9.8
"LA","2011-09",12.4
"NY","2011-09",8.7
"WA","2011-09",8.3
"NJ","2011-10",9.8
"LA","2011-10",12.2
"NY","2011-10",8.7
"WA","2011-10",8.3
"NJ","2011-11",9.7
"LA","2011-11",12
"NY","2011-11",8.8
"WA","2011-11",8.3
"NJ","2011-12",9.7
"LA","2011-12",11.8
"NY","2011-12",8.7
"WA","2011-12",8.2
"NJ","2012-01",9.6
"LA","2012-01",11.6
"NY","2012-01",8.7
"WA","2012-01",8.2
"NJ","2012-02",9.7
"LA","2012-02",11.4
"NY","2012-02",8.7
"WA","2012-02",8.1
"NJ","2012-03",9.8
"LA","2012-03",11.2
"NY","2012-03",8.8
"WA","2012-03",8.2
"NJ","2012-04",9.9
"LA","2012-04",11.2
"NY","2012-04",8.8
"WA","2012-04",8.2
"NJ","2012-05",10
"LA","2012-05",11.1
"NY","2012-05",8.9
"WA","2012-05",8.3
"NJ","2012-06",10
"LA","2012-06",11.1
"NY","2012-06",8.9
"WA","2012-06",8.3
"NJ","2012-07",10.1
"LA","2012-07",11
"NY","2012-07",8.9
"WA","2012-07",8.4
"NJ","2012-08",10.1
"LA","2012-08",10.9
"NY","2012-08",8.8
"WA","2012-08",8.4
"NJ","2012-09",10.1
"LA","2012-09",10.7
"NY","2012-09",8.8
"WA","2012-09",8.4
"NJ","2012-10",10.1
"LA","2012-10",10.5
"NY","2012-10",8.7
"WA","2012-10",8.4
"NJ","2012-11",10.1
"LA","2012-11",10.4
"NY","2012-11",8.7
"WA","2012-11",8.4
"NJ","2012-12",10.1
"LA","2012-12",10.3
"NY","2012-12",8.6
"WA","2012-12",8.4
"NJ","2013-01",9.9
"LA","2013-01",10.4
"NY","2013-01",8.7
"WA","2013-01",8.6
"NJ","2013-02",9.7
"LA","2013-02",10.3
"NY","2013-02",8.7
"WA","2013-02",8.5
"NJ","2013-03",9.4
"LA","2013-03",10.2
"NY","2013-03",8.4
"WA","2013-03",8.2
"NJ","2013-04",9.1
"LA","2013-04",9.9
"NY","2013-04",8.1
"WA","2013-04",8
"NJ","2013-05",9
"LA","2013-05",9.6
"NY","2013-05",7.9
"WA","2013-05",7.9
"NJ","2013-06",9
"LA","2013-06",9.7
"NY","2013-06",7.9
"WA","2013-06",7.8
"NJ","2013-07",8.8
"LA","2013-07",9.9
"NY","2013-07",7.8
"WA","2013-07",7.8
"NJ","2013-08",8.7
"LA","2013-08",10.1
"NY","2013-08",7.8
"WA","2013-08",7.9
"NJ","2013-09",8.7
"LA","2013-09",9.8
"NY","2013-09",7.8
"WA","2013-09",7.9
"NJ","2013-10",8.6
"LA","2013-10",9.7
"NY","2013-10",7.9
"WA","2013-10",7.8
